,Confirmed,Date,Suspected,expforecast,polyforecast
0,41.0,2020-01-15,,88.96064683950927,193.89560439602567
1,50.0,2020-01-16,,98.74895413454713,69.88961038975668
2,58.0,2020-01-17,,114.09083722002052,6.663836163835725
3,136.0,2020-01-18,,138.13721924642624,4.218281718262773
4,196.0,2020-01-19,40.0,175.82675744316492,62.552947053037855
5,258.0,2020-01-20,127.0,234.90014685881792,181.6678321681609
6,475.0,2020-01-21,260.0,327.4899079441725,361.56293706363203
7,522.0,2020-01-22,330.0,472.6121692981393,602.2382617394512
8,680.0,2020-01-23,450.0,700.0722090867104,903.6938061956184
9,1103.0,2020-01-24,1056.0,1056.5858770650802,1265.9295704321337
10,1412.0,2020-01-25,2058.0,1615.374117731595,1688.9455544489967
11,2583.0,2020-01-26,2984.0,2491.2011222831416,2172.7417582462085
12,,2020-01-27,,3863.944652080363,2717.318181823767
13,,2020-01-28,,6015.539417721363,3322.674825181675
14,,2020-01-29,,9387.880962261417,3988.81168831993
