,Confirmed,Date,Suspected,expforecast,logforecast,polyforecast,explagforecast
0,41.0,2020-01-15,,65.60254527925825,30.40528064638393,364.8901098909016,31.201430786680692
1,50.0,2020-01-16,,79.46937790160672,46.04980087163387,104.74725274747328,51.19571332234159
2,62.0,2020-01-17,,100.7394580368926,69.74394300027573,-55.14185814199459,80.38054295029991
3,121.0,2020-01-18,,133.3652436998958,105.62950312762423,-114.77722277750206,122.98043513916954
4,198.0,2020-01-19,40.0,183.40933772107343,159.9793681129265,-74.15884115904908,185.16174089415782
5,291.0,2020-01-20,127.0,260.1710553473986,242.29403209952426,66.71328671336414,275.9252284694989
6,440.0,2020-01-21,260.0,377.914445615392,366.9623069669215,307.83916083973827,408.40894808290085
7,571.0,2020-01-22,393.0,558.5188716300415,555.7765231087062,649.2187812200725,601.7899698074464
8,830.0,2020-01-23,1072.0,835.544687022649,841.7418840022087,1090.8521478543673,884.0602719423365
9,1287.0,2020-01-24,1965.0,1260.4695024738173,1274.8458593923804,1632.7392607426225,1296.078590786543
10,1975.0,2020-01-25,2684.0,1912.2538805120676,1930.7961216155848,2274.8801198848378,1897.4847386500285
11,2744.0,2020-01-26,5794.0,2912.013979257179,2924.2544384209536,3017.274725281015,2775.3324899408135
12,4515.0,2020-01-27,6973.0,4445.527651449204,4428.879840162898,3859.9230769311507,4056.690648955194
13,,2020-01-28,,6797.756136814507,6707.684657484922,4802.825174835248,5927.036308847259
14,,2020-01-29,,10405.796252593213,10159.009741121401,5845.981018993305,8657.102733185544
15,,2020-01-30,,15940.102787039705,15386.1554471628,6989.390609405324,12642.068101420917
