,Confirmed,Date,Suspected,expforecast,logforecast,polyforecast
0,41.0,2020-01-15,,49.480844915552666,26.63181333889056,230.81043956094123
1,50.0,2020-01-16,,63.78282703915345,41.00364676565925,69.57467532482084
2,58.0,2020-01-17,,85.56750514508983,63.11511937549599,-17.866383616437645
3,136.0,2020-01-18,,118.74977289496601,97.11222094707271,-31.512737262834264
4,196.0,2020-01-19,40.0,169.29276864960286,149.33184450546673,28.635614385631072
5,258.0,2020-01-20,127.0,246.27950262177902,229.41876949101655,162.57867132895825
6,475.0,2020-01-21,260.0,363.54515178264984,351.95700626598784,370.31643356714727
7,522.0,2020-01-22,330.0,542.1633599286178,538.7777888446531,651.8489011001984
8,680.0,2020-01-23,450.0,814.2333523737901,822.0526429259008,1007.1760739281112
9,1103.0,2020-01-24,1056.0,1228.6484422879425,1248.0444056255824,1436.2979520508861
10,2100.0,2020-01-25,2058.0,1859.8825787874475,1880.7583205322876,1939.2145354685226
11,2744.0,2020-01-26,5794.0,2821.3739548973695,2803.4068711633795,2515.9258241810217
12,,2020-01-27,,4285.910824624279,4113.435675821692,3166.4318181883814
13,,2020-01-28,,6516.683035465487,5904.733718413145,3890.732517490604
14,,2020-01-29,,9914.579503301977,8231.964498572108,4688.827922087689
