,Confirmed,Date,Suspected,expforecast,logforecast,polyforecast,explagforecast
0,41.0,2020-01-15,,64.89255194543153,25.26210803051794,393.82417582503035,49.480844915552666
1,50.0,2020-01-16,,76.76375857140931,38.88234527642653,114.03296703320768,63.78282703915345
2,58.0,2020-01-17,,95.29903824395464,59.846025998214884,-62.32467532482747,85.56750514508983
3,136.0,2020-01-18,,124.23936447731887,92.11241764028968,-135.24875124907499,118.74977289496601
4,196.0,2020-01-19,40.0,169.42576022046637,141.77545357345733,-104.7392607395351,169.29276864960286
5,258.0,2020-01-20,127.0,239.9781908942578,218.21465270021977,29.203796203792308,246.27950262177902
6,475.0,2020-01-21,260.0,350.1362460371047,335.8665651353046,266.58041958090735,363.54515178264984
7,522.0,2020-01-22,330.0,522.1331141388056,516.9513047401585,607.3906093918101,542.1633599286178
8,680.0,2020-01-23,450.0,790.6829046959499,795.6691099086987,1051.6343656365,814.2333523737901
9,1103.0,2020-01-24,1056.0,1209.986993219483,1224.6595079207198,1599.3116883149776,1228.6484422879425
10,2100.0,2020-01-25,2058.0,1864.6734790580922,1884.9429799908019,2250.4225774272427,1859.8825787874475
11,2744.0,2020-01-26,5794.0,2886.8776656400933,2901.2227386477407,3004.9670329732953,2821.3739548973695
12,4515.0,2020-01-27,6973.0,4482.910914634576,4465.436553025172,3862.9450549531357,4285.910824624279
13,,2020-01-28,,6974.900446015278,6873.006678641001,4824.356643366764,6516.683035465487
14,,2020-01-29,,10865.804240421445,10578.634130615803,5889.20179821418,9914.579503301977
15,,2020-01-30,,16940.92299460671,16282.174693932231,7057.480519495382,15090.23139192843
